源数据类型,目标数据类型,转换函数名称,测试程序,数据范围,转换特点,测试状态
REAL,DINT,REAL_TO_DINT,TypeConversionTest,浮点→32位整数,截断转换,通过
REAL,STRING,REAL_TO_STRING,TypeConversionTest,浮点→文本,文本表示,通过
STRING,BOOL,STRING_TO_BOOL,TypeConversionTest,文本→布尔,解析转换,通过
STRING,BYTE,STRING_TO_BYTE,TypeConversionTest,文本→8位整数,解析转换,通过
STRING,WORD,STRING_TO_WORD,TypeConversionTest,文本→16位整数,解析转换,通过
STRING,DWORD,STRING_TO_DWORD,TypeConversionTest,文本→32位整数,解析转换,通过
STRING,INT,STRING_TO_INT,TypeConversionTest,文本→16位整数,解析转换,通过
STRING,DINT,STRING_TO_DINT,TypeConversionTest,文本→32位整数,解析转换,通过
STRING,REAL,STRING_TO_REAL,TypeConversionTest,文本→浮点数,解析转换,通过
TIME,DINT,TIME_TO_DINT,TypeConversionTest,时间→毫秒数,时间转换,通过
TIME,REAL,TIME_TO_REAL,TypeConversionTest,时间→浮点毫秒,时间转换,通过
TIME,STRING,TIME_TO_STRING,TypeConversionTest,时间→文本,文本表示,通过
LINT,BOOL,LINT_TO_BOOL,ExtendedTypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
LINT,BYTE,LINT_TO_BYTE,ExtendedTypeConversionTest,64位→8位,严重截断,通过
LINT,WORD,LINT_TO_WORD,ExtendedTypeConversionTest,64位→16位,严重截断,通过
LINT,DWORD,LINT_TO_DWORD,ExtendedTypeConversionTest,64位→32位,高位截断,通过
LINT,INT,LINT_TO_INT,ExtendedTypeConversionTest,64位→16位,可能严重溢出,通过
LINT,DINT,LINT_TO_DINT,ExtendedTypeConversionTest,64位→32位,可能溢出,通过
LINT,REAL,LINT_TO_REAL,ExtendedTypeConversionTest,长整数→浮点,精度可能损失,通过
LINT,STRING,LINT_TO_STRING,ExtendedTypeConversionTest,长整数→文本,文本表示,通过
LINT,TIME,LINT_TO_TIME,ExtendedTypeConversionTest,毫秒数→时间,时间转换,通过
UDINT,BOOL,UDINT_TO_BOOL,ExtendedTypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
UDINT,BYTE,UDINT_TO_BYTE,ExtendedTypeConversionTest,32位→8位,严重截断,通过
UDINT,WORD,UDINT_TO_WORD,ExtendedTypeConversionTest,32位→16位,高位截断,通过
UDINT,DWORD,UDINT_TO_DWORD,ExtendedTypeConversionTest,32位→32位,直接映射,通过
UDINT,INT,UDINT_TO_INT,ExtendedTypeConversionTest,32位无符号→16位有符号,可能溢出,通过
UDINT,DINT,UDINT_TO_DINT,ExtendedTypeConversionTest,32位无符号→32位有符号,符号位处理,通过
UDINT,LINT,UDINT_TO_LINT,ExtendedTypeConversionTest,32位→64位,无符号扩展,通过
UDINT,REAL,UDINT_TO_REAL,ExtendedTypeConversionTest,无符号整数→浮点,精度保持,通过
UDINT,STRING,UDINT_TO_STRING,ExtendedTypeConversionTest,无符号整数→文本,文本表示,通过
UDINT,TIME,UDINT_TO_TIME,ExtendedTypeConversionTest,毫秒数→时间,时间转换,通过
ULINT,BOOL,ULINT_TO_BOOL,ExtendedTypeConversionTest,非零→TRUE/零→FALSE,数值判断,通过
ULINT,BYTE,ULINT_TO_BYTE,ExtendedTypeConversionTest,64位→8位,严重截断,通过
ULINT,WORD,ULINT_TO_WORD,ExtendedTypeConversionTest,64位→16位,严重截断,通过
ULINT,DWORD,ULINT_TO_DWORD,ExtendedTypeConversionTest,64位→32位,高位截断,通过
ULINT,INT,ULINT_TO_INT,ExtendedTypeConversionTest,64位无符号→16位有符号,可能严重溢出,通过
ULINT,DINT,ULINT_TO_DINT,ExtendedTypeConversionTest,64位无符号→32位有符号,可能严重溢出,通过
ULINT,LINT,ULINT_TO_LINT,ExtendedTypeConversionTest,64位无符号→64位有符号,符号位处理,通过
ULINT,UDINT,ULINT_TO_UDINT,ExtendedTypeConversionTest,64位→32位,高位截断,通过
ULINT,REAL,ULINT_TO_REAL,ExtendedTypeConversionTest,超大整数→浮点,精度可能损失,通过
ULINT,STRING,ULINT_TO_STRING,ExtendedTypeConversionTest,超大整数→文本,文本表示,通过
LWORD,BOOL,LWORD_TO_BOOL,ExtendedTypeConversionTest,位模式→布尔,位模式转换,通过
LWORD,BYTE,LWORD_TO_BYTE,ExtendedTypeConversionTest,64位→8位,低8位,通过
LWORD,WORD,LWORD_TO_WORD,ExtendedTypeConversionTest,64位→16位,低16位,通过
LWORD,DWORD,LWORD_TO_DWORD,ExtendedTypeConversionTest,64位→32位,低32位,通过
LWORD,INT,LWORD_TO_INT,ExtendedTypeConversionTest,位模式→16位整数,位模式解释,通过
LWORD,DINT,LWORD_TO_DINT,ExtendedTypeConversionTest,位模式→32位整数,位模式解释,通过
LWORD,LINT,LWORD_TO_LINT,ExtendedTypeConversionTest,位模式→64位整数,位模式解释,通过
LWORD,UDINT,LWORD_TO_UDINT,ExtendedTypeConversionTest,位模式→32位无符号,位模式解释,通过
LWORD,ULINT,LWORD_TO_ULINT,ExtendedTypeConversionTest,位模式→64位无符号,位模式解释,通过
LWORD,REAL,LWORD_TO_REAL,ExtendedTypeConversionTest,位模式→浮点,位模式转浮点,通过
BOOL,LINT,BOOL_TO_LINT,ExtendedTypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,UDINT,BOOL_TO_UDINT,ExtendedTypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,ULINT,BOOL_TO_ULINT,ExtendedTypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BOOL,LWORD,BOOL_TO_LWORD,ExtendedTypeConversionTest,TRUE/FALSE → 1/0,简单扩展,通过
BYTE,LINT,BYTE_TO_LINT,ExtendedTypeConversionTest,8位→64位,无符号扩展,通过
BYTE,UDINT,BYTE_TO_UDINT,ExtendedTypeConversionTest,8位→32位,无符号扩展,通过
BYTE,ULINT,BYTE_TO_ULINT,ExtendedTypeConversionTest,8位→64位,无符号扩展,通过
BYTE,LWORD,BYTE_TO_LWORD,ExtendedTypeConversionTest,8位→64位,位模式扩展,通过
INT,LINT,INT_TO_LINT,ExtendedTypeConversionTest,16位→64位,符号扩展,通过
INT,UDINT,INT_TO_UDINT,ExtendedTypeConversionTest,16位有符号→32位无符号,符号处理,通过
INT,ULINT,INT_TO_ULINT,ExtendedTypeConversionTest,16位有符号→64位无符号,符号处理,通过
INT,LWORD,INT_TO_LWORD,ExtendedTypeConversionTest,16位→64位,位模式扩展,通过
DINT,LINT,DINT_TO_LINT,ExtendedTypeConversionTest,32位→64位,符号扩展,通过
DINT,UDINT,DINT_TO_UDINT,ExtendedTypeConversionTest,32位有符号→32位无符号,符号处理,通过
DINT,ULINT,DINT_TO_ULINT,ExtendedTypeConversionTest,32位有符号→64位无符号,符号处理,通过
DINT,LWORD,DINT_TO_LWORD,ExtendedTypeConversionTest,32位→64位,位模式扩展,通过
REAL,LINT,REAL_TO_LINT,ExtendedTypeConversionTest,浮点→64位整数,截断转换,通过
REAL,UDINT,REAL_TO_UDINT,ExtendedTypeConversionTest,浮点→32位无符号,截断转换,通过
REAL,ULINT,REAL_TO_ULINT,ExtendedTypeConversionTest,浮点→64位无符号,截断转换,通过
REAL,LWORD,REAL_TO_LWORD,ExtendedTypeConversionTest,浮点→64位位模式,位模式转换,通过

总计转换函数,103个,包含基础转换44个+扩展转换59个,2个测试程序,全部数据类型覆盖,完整转换矩阵,100%编译通过
